Batman Begins,"28,80,18"
The Spirit,"28,35,53,80,878"
City of Ember,"12,10751,14"
Loft,"18,9648,10749,53"
Made of Honor,"35,10749"
Untraceable,"9648,53"
The Eye,"18,27,53"
The Love Guru,"35,10749"
All the Boys Love Mandy Lane,"27,9648,53"
Deception,53
The Lazarus Project,"18,53"
Leatherheads,"35,10749,18"
Beverly Hills Chihuahua,"12,35,10751,10749"
Nights in Rodanthe,"18,10749"
Two Lovers,"18,10749"
The Wave,"18,53"
Nothing But the Truth,"18,53"
The Brothers Bloom,"12,35,18,10749"
Felon,"28,80,18,9648"
Ghost Town,"35,14,10749"
Quarantine,"27,878,53"
Charlie Bartlett,"35,18"
Resident Evil: Degeneration,"16,27,28,878"
Departures,18
"New York, I Love You","35,18,10749"
Space Chimps,"16,10751,12,35,878"
Justice League: The New Frontier,"28,12,16,878,10751"
Nick and Norah's Infinite Playlist,"35,10402,10749"
Role Models,35
Rab Ne Bana Di Jodi,"35,18,10749"
Sex Drive,"35,12,10749"
Righteous Kill,"28,80,18,53"
W.,"18,36"
The Rocker,"35,10402"
Blindness,"18,9648,878,53"
Tokyo Gore Police,"12,27,28,878"
Strange Wilderness,35
Snow Buddies,10751
Splinter,"27,53"
L: Change the World,"14,28,53,878,9648"
Assassination of a High School President,"35,80,9648,53"
Frost/Nixon,"18,36"
Minutemen,"10770,35,878,10751,12"
Unstable Fables: 3 Pigs & a Baby,"10751,16"
The Heir Apparent: Largo Winch,"12,18,28,53"
Over Her Dead Body,35
Four Christmases,"35,10749,18"
Mutant Chronicles,"28,12,27,878"
Prom Night,"80,27,18"
The Midnight Meat Train,"9648,18,80,53,27"
Picture This,35
Defiance,"28,18,36,10752"
Dragon Hunters,"16,10751"
Eden Lake,"27,53"
The Librarian: The Curse of the Judas Chalice,"14,28,12,35"
Mesrine: Killer Instinct,"18,28,53,80"
Cadillac Records,"18,36,10402"
Chocolate,"28,35,80"
"The Good, The Bad, The Weird","28,12,35,37"
Joy Ride 2: Dead Ahead,"80,53"
Redbelt,18
I Can't Think Straight,"18,10749"
Nim's Island,"12,35,10751,14"
Che: Part One,"18,36,10752"
The Express,18
The Secret of Moonacre,"12,14,18,878,10749,10751"
Milk,"36,18"
Ghost in the Shell 2.0,"28,16,878"
"War, Inc.","28,12,35,53"
Bangkok Dangerous,"28,80,53"
Dragon Ball: Yo! Son Goku and His Friends Return!!,"16,28,12,878"
The Ruins,27
Miss Pettigrew Lives for a Day,"18,35,10749"
Kung Fu Panda: Secrets of the Furious Five,"16,35,10751"
Zombie Strippers!,"35,27"
The Great Buck Howard,"35,18"
Deadgirl,"10749,27,53"
The Women,"10751,35,18,10749"
The Sisterhood of the Traveling Pants 2,"12,35,18,10751"
Stop-Loss,"18,10752"
Next Avengers: Heroes of Tomorrow,"16,10751"
The Children of Huang Shi,"18,10752"
"Synecdoche, New York",18
Ben 10: Race Against Time,"28,10751,878"
Passengers,"18,9648,53,10749"
One Missed Call,"27,9648,53"
Speed Racer,10751
Max Manus: Man of War,"18,36,10752"
The Baader Meinhof Complex,"28,80,18,36,53"
Fireflies in the Garden,18
Killshot,"80,18,53"
Barbie in 'A Christmas Carol',"16,10751"
The Cheetah Girls: One World,"35,18,10751,10402,10770"
The Burning Plain,"18,10749"
Ca$h,"35,53,80"
Go Fast,"18,28,80"
Miracle at St. Anna,"18,10752"
How to Lose Friends & Alienate People,"35,10749,18"
Changing Sides,35
My Sassy Girl,"35,10749"
The Promotion,35
Elegy,"18,10749"
The Stoning of Soraya M.,"80,18"
What Just Happened,"35,18"
Anaconda 3: Offspring,"28,27,53"
LOL (Laughing Out Loud),35
Semi-Pro,35
Batman: Gotham Knight,"16,28,12"
The Machine Girl,"28,12,35,80,27,53"
Waltz with Bashir,"18,16,10752"
Shutter,"27,9648,53"
Rachel Getting Married,18
Pathology,"80,27,53"
Mesrine: Public Enemy #1,"28,53,80,18"
My Best Friend's Girl,"10749,35"
College Road Trip,"35,10751"
Gomorrah,"18,80"
Teeth,"35,27"
The Children,"27,9648,53"
Swing Vote,"18,35"
The Chaser,"80,18,53"
Presto,"16,10751"
The Secret Life of Bees,"12,18"
Baby Mama,35
Hunger,"18,36"
Jodhaa Akbar,"28,12,18,36,10402,10749"
Il Divo,18
Berlin Calling,"35,18,10402"
Day of the Dead,"27,28,53"
Welcome Home Roscoe Jenkins,"35,18"
Love Exposure,"28,35,18,10749"
The First Day of the Rest of Your Life,18
Lake Mungo,"27,53"
Frozen River,18
The Last Deadly Mission,"80,18,53,9648"
Arn: The Kingdom at Road's End,"28,12,18,36"
Happy-Go-Lucky,"18,35"
"Food, Inc.",99
Drillbit Taylor,35
Franklyn,"18,14,878"
Mad Money,"28,35,80"
The Edge of Love,"18,36,10749"
Flame & Citron,"80,18,36,10752"
Incendiary,"18,53,10749"
North Face,"12,18,28,36,53"
The Class,18
The Ramen Girl,"10749,35,18"
Paris,18
Female Agents,"28,53,10752,36"
Big Buck Bunny,"16,35,10751"
Amusement,"27,53"
24: Redemption,"28,12,80"
Fly Me to the Moon,"12,14,16,28,878,10751"
I've Loved You So Long,18
Vacancy 2: The First Cut,"27,53"
The Broken,"53,18,27"
The Wackness,18
The Other Man,"18,53,9648,10749"
Far Cry,"28,878,53"
2 Alone in Paris,35
The Lucky Ones,"35,18,36"
"Grande, grosso e Verdone","10751,35"
100 Feet,"27,53"
Easy Virtue,"35,10749"
Flash of Genius,18
Il cosmo sul comò,35
The Red Baron,"28,12,18,36,10752"
Wendy and Lucy,18
Outpost,"28,12,27"
Keith,"18,10751,10749"
My Name Ain't Johnny,"80,18"
CJ7,"35,18,10751,14,878"
Man on Wire,"53,99,80,36"
Surveillance,"27,53,9648"
Religulous,"35,99"
The Oxford Murders,"80,9648,53"
Boogeyman 3,27
JCVD,"18,28,35,80"
Hell Ride,"28,53"
Anything for Her,"18,53"
Last Chance Harvey,"18,35,10749"
Krabat,"28,14,27"
Futurama: Bender's Game,"16,35,878"
Henry Poole Is Here,"35,18"
The Escapist,"28,53"
Painted Skin,"14,28,18,53"
The Hottie & The Nottie,"35,10749"
Brideshead Revisited,"18,10749"
Smart People,"35,18,10749"
Repo! The Genetic Opera,"27,10402,878"
The Cutting Edge 3: Chasing the Dream,"35,18,10749"
Boot Camp,"18,53"
Pokémon: Giratina and the Sky Warrior,"12,16,10751"
Trouble at Timpetill,"14,12,10751"
Choke,"35,18"
Afterwards,"18,53,9648"
Front of the Class,18
Secrets Of State,53
Make It Happen,"35,18,10749"
Hero Wanted,"28,12,80,18,53"
Quiet Chaos,"10749,18"
Naruto Shippuden the Movie: Bonds,"14,16,28"
Grace Is Gone,18
Cold Prey II,"18,27,9648,53"
Private Valentine: Blonde & Dangerous,"35,10752,12,18"
The Cottage,"27,35,80,53"
The Other End of the Line,"35,10749"
The Haunting of Molly Hartley,"18,27"
Be Kind Rewind,"18,35"
Zeitgeist: Addendum,"99,36,10752"
Red,"18,53"
Recount,"18,36,10770"
Chaos Theory,"35,18,10749"
The Signal,"27,878,53"
Sorry if I Love You,35
I Sell the Dead,"35,18,27"
Hamlet 2,"35,10402"
What Doesn't Kill You,"28,80,18"
Ugly Melanie,35
Doctor Who: The Next Doctor,"12,18,10751,878,10770"
Autopsy,"27,53"
Disco,35
Fireproof,18
Agathe Cléry,35
Deal,"35,18"
Skirt Day,18
Lost Boys: The Tribe,"80,18,27,53,35"
The Sky Crawlers,"28,12,16,10752"
The Square,"80,18,53"
Dorothy Mills,"18,53,9648,27"
Bottle Shock,"35,18"
Still Walking,"18,10751"
War Games: The Dead Code,"878,18,53"
Caregiver,18
Get Smart's Bruce and Lloyd Out of Control,"28,35"
Jolene,18
The Beautiful Person,"18,35"
Flashbacks of a Fool,18
A Whole Life Ahead,"10749,18,35"
Winter in Wartime,"18,36,10752"
First Sunday,"28,35"
We Can Do That,35
Ghajini,"53,28,18,9648"
Solstice,"18,27,53"
A Christmas Tale,"18,35"
Meet the Browns,"35,18,10749"
Dead Space: Downfall,"16,27,878,53"
Scooby-Doo! and the Goblin King,"9648,16,35,10751,12,14,10402"
Feast II: Sloppy Seconds,"28,35,27,53"
Forever Strong,18
Camille,"35,18,10749"
A Wednesday!,"18,53"
Towelhead,18
Gigantic,"35,10749"
Dark Floors,"14,27"
Bad Biology,"14,27"
Beethoven's Big Break,"35,10751"
Natale a Rio,35
Dante 01,878
A Frozen Flower,18
"Amore, bugie e calcetto",
Dostana,"18,35,10749"
The Onion Movie,35
Anvil! The Story of Anvil,"99,10402"
Mum & Dad,"27,53"
The Wild Soccer Bunch 5,"10751,12,35"
The Forbidden Legend: Sex & Chopsticks,
L'allenatore nel pallone 2,35
Train,"27,53"
The Girl from Monaco,"35,18"
The Black Balloon,18
Dr. Dolittle: Tail to the Chief,"35,10751,14"
Bathory: Countess of Blood,"18,14"
Donkey Punch,"27,18,53,80"
The Flight Before Christmas,"16,10751,12,18,14"
Louis C.K.: Chewed Up,35
Center Stage : Turn It Up,"18,10751"
Alone in the Dark 2,"28,14,27"
The Burrowers,"28,27,37"
Revanche,"80,18,10749"
Winged Creatures,"80,18"
Love Me No More,53
Tokyo!,"10749,18,35"
Snow Angels,"18,10749"
Dance of the Dead,"35,27"
Hush,"53,27,28"
Dying Breed,"53,27"
It Might Get Loud,"99,10402"
Kick the Cock,35
Pistol Whipped,"28,53,80,18"
The Prince & Me: A Royal Honeymoon,"35,10749"
iCarly: iGo to Japan,"35,10751"
Vinyan,"18,27,53"
Gurren Lagann The Movie: Childhood's End,"28,35,16"
Adulthood,"80,18"
Coco Chanel,"18,10749"
Kung Fu Dunk,"28,12,35"
Einstein and Eddington,"36,18,10770"
Robot Chicken: Star Wars Episode II,"35,878"
A Tale of Legendary Libido,"35,14,18"
Three Kingdoms: Resurrection of the Dragon,"28,36,18"
Extreme Movie,35
Don't Look Down,"18,10749"
Tokyo Sonata,18
Were the World Mine,"14,10749"
Alien Raiders,"27,878,53"
1½ Knights - In Search of the Ravishing Princess Herzelinde,"12,35"
College,35
The Shepherd: Border Patrol,28
Recep İvedik,35
The Lost Door,"18,53"
Blackout,"27,53"
A summer at the sea,35
Sleep Dealer,"18,878,53"
The Echo,"27,53,18,9648"
The Art of War II: Betrayal,"28,53"
Death Bell,"27,53"
Phoebe in Wonderland,18
The Yellow Handkerchief,"18,10749"
Shine a Light,"99,10402"
Tyson,"99,18"
Last Stop 174,"18,80"
Pulse 2: Afterlife,"18,27,878"
Admiral,"18,10752,36"
Rudo & Cursi,"35,18"
Soul Men,"35,10402"
Scandal Makers,"35,18"
Lymelife,"35,18"
Daddy Cool,"35,18"
Mamá,27
Questa notte è ancora nostra,35
The Objective,"28,27,878,53"
Paris 36,18
Stag Night,"28,27,53"
Little Ashes,"18,10749"
"Patrik, Age 1.5","18,35"
Under the Same Moon,18
$9.99,"16,18"
Rest Stop: Don't Look Back,27
Queens of Langkasuka,"28,12,14,36,878"
Fire and Ice: The Dragon Chronicles,"18,14,12"
The Horseman,"53,80"
Wieners,35
À l'aventure,18
Insanitarium,"27,53"
Jaane Tu... Ya Jaane Na,"18,35,10749"
4bia,"27,18"
Pulse 3,"27,53"
An American Carol,"35,14"
La fidanzata di papà,
Pinocchio,"12,18,14"
Cape No. 7,"35,18,10749"
Restraint,"18,53"
The Poker House,18
The Garden of Sinners - Chapter 5: Paradox Spiral,"28,16,18,9648,53"
Kill Theory,"27,53,9648"
A Matador's Mistress,"18,10749"
An Empress and the Warriors,"28,12,36"
Hounddog,18
A.R.O.G,"878,14,35"
Race,"18,28,53,80"
Fifty Dead Men Walking,"28,53"
9to5: Days in Porn,99
The Clique,"35,18,10751"
Gardens of the Night,"80,18"
Farm House,"27,53,9648"
20th Century Boys - Chapter 1: Beginning of the End,"878,12,9648"
The Man Who Loves,18
Summer Hours,"10751,35,18"
If You Are the One,"18,35,10749"
War of the Worlds 2: The Next Wave,"28,878,12"
Surviving Sid,16
Dragonlance: Dragons Of Autumn Twilight,"12,16,14"
While She Was Out,"28,12,18,27,53"
Bride Flight,18
Camino,18
Connected,"53,28"
Sleepwalking,18
Bigger Stronger Faster*,99
Lorna's Silence,"80,18"
Home Movie,"18,27,53"
Birds of America,"35,18"
Three Monkeys,"18,53"
Julia,18
The Alphabet Killer,"80,9648,53"
Lupin the Third: Green vs Red,"28,16,35"
Private Lessons,18
Bleach: Fade to Black,"28,35,16"
Asylum,"27,878"
Spy School,"28,12,35,10751"
Hipsters,"18,10749"
I'll Never Die Alone,"27,53"
Chris Rock: Kill the Messenger,"35,10770"
Bachelor Party 2: The Last Temptation,35
The Inhabited Island,"28,14,878,53"
Clubbed,"18,28,53,80"
Stiletto,"28,80,18,53"
Passchendaele,"18,10749,10752,36"
We Are From The Future,"10752,14,28,18"
Remember the Daze,"35,18"
Gonzo: The Life and Work of Dr. Hunter S. Thompson,99
Gangster's Paradise: Jerusalema,"28,80,18"
Next Floor,35
Shameless,"35,10749"
The Day the Earth Stopped,"28,12,878,53"
Breathing Room,"27,9648,53"
Legendary Assassin,28
The Horribly Slow Murderer with the Extremely Inefficient Weapon,"35,27"
Just a Father,"35,10749"
El Materdor,16
Otis,"35,27"
Terribly Happy,"18,53"
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom","28,16,12,35"
April Fool's Day,27
One Week,"12,18"
Return to Sleepaway Camp,"9648,27,35"
Cyclops,"10770,28,14"
Princess,"14,10751"
Sparrow,53
2:22,53
Mostly Ghostly,"10751,14,27"
Kill Switch,"28,53"
"Merry Christmas, Drake & Josh",35
Coming Soon,"27,53"
$5 a Day,"18,35"
The Human Contract,18
Contract,"53,28"
George Carlin: It's Bad for Ya!,35
Midnight Movie,27
Fist of the North Star: Legend of Toki,"16,28"
Never Cry Werewolf,27
Wushu,"18,28"
Good,18
Detroit Metal City,35
Doraemon: Nobita and the Green Giant Legend,"12,16,10751"
Somers Town,"35,18"
Manhunt,"53,27"
Unstable Fables: Goldilocks and the Three Bears,"10751,16"
National Geographic: Journey to the Edge of the Universe,99
Smother,"35,10749,18"
The Last Word,"18,10749"
Blade: House of Chthon,"28,27,10770"
Red Mist,"53,27"
The Crew,"18,28,53,80"
Séraphine,"36,18"
Kite Liberator,"16,53"
Rivals,"28,80"
100 Million BC,878
Tunnel Rats,"28,18,10752"
Poison Ivy: The Secret Society,"18,53"
Giovanna's Father,"18,10752"
The Attic,"27,53"
Bachna Ae Haseeno,"18,35,10749"
Another Gay Sequel: Gays Gone Wild!,35
Downloading Nancy,"18,53"
ICHI,"28,12,18,36"
Tortured,"80,53"
Linewatch,"28,12,80,18,53"
Lemon Tree,18
2012 Doomsday,"28,12,14,27,878,53"
Cyborg She,"28,35,878"
The Loss of a Teardrop Diamond,"18,10749"
Dean Spanley,"35,18"
Lower Learning,35
Disgrace,18
Shark Swarm,"18,27,53,28"
Unstable Fables: Tortoise vs. Hare,"16,18,10751"
Sappho,"18,10749"
Odysseus & the Isle of Mists,"12,14"
One Million Yen Girl,18
Sherlock Holmes,"28,12,80,9648"
Avatar,"28,12,14,878"
Inglourious Basterds,"18,28,53,10752"
Harry Potter and the Half-Blood Prince,"12,14,10751"
Zombieland,"35,27"
Up,"16,35,10751,12"
The Twilight Saga: New Moon,"12,14,18,10749"
The Hangover,35
2012,"28,12,878"
A Christmas Carol,"16,18,10751"
Terminator Salvation,"28,878,53"
Night at the Museum: Battle of the Smithsonian,"12,14,28,35,10751"
Wrong Turn 3: Left for Dead,"27,53"
Star Trek,"878,28,12"
Cloudy with a Chance of Meatballs,"16,35,10751"
The Blind Side,18
Watchmen,"9648,14,878"
Ice Age: Dawn of the Dinosaurs,"16,35,10751,12"
The Princess and the Frog,"10749,10751,16,10402"
Angels & Demons,"53,9648"
He's Just Not That Into You,"35,10749,18"
Moon,"878,18"
The Girl with the Dragon Tattoo,"18,53,80,9648"
Hachi: A Dog's Tale,"18,10751"
Alvin and the Chipmunks: The Squeakquel,"35,10751,16,14,10402"
(500) Days of Summer,"35,18,10749"
District 9,878
The Proposal,"35,10749,18"
G.I. Joe: The Rise of Cobra,"12,28,53,878"
Friday the 13th,27
Underworld: Rise of the Lycans,"14,28,12,878,53"
Tinker Bell and the Lost Treasure,"16,10751,12,14"
Fantastic Mr. Fox,"12,16,35,10751"
Knowing,"28,12,18,9648,878,53"
Law Abiding Citizen,"18,80,53"
The Final Destination,"27,9648"
Mr. Nobody,"878,18,10749,14"
Crank: High Voltage,"28,53,80"
Paul Blart: Mall Cop,"28,12,35,10751"
Case 39,"27,9648,53"
Public Enemies,"80,18,36"
Armored,"28,80,18,53,9648"
Fanboys,"12,35"
State of Play,"53,18"
Surrogates,"28,878,53"
The Imaginarium of Doctor Parnassus,"12,14,9648"
The Lovely Bones,"14,18"
Pandorum,"28,27,9648,878,53"
The Girl Who Kicked the Hornet's Nest,"28,53,80,9648"
Monsters vs Aliens,"16,10751,12,878"
Dogtooth,18
The Girl Who Played with Fire,"18,28,53,80,9648"
9,"28,12,16,878,53"
The Human Centipede (First Sequence),27
Jennifer's Body,"35,27"
Triangle,27
Hannah Montana: The Movie,"35,18,10751,10402,10749"
American Pie Presents: The Book of Love,35
Halloween II,27
Paranormal Activity,"27,9648"
Up in the Air,"18,10749"
Orphan,"27,53,9648"
Drag Me to Hell,"27,53"
Arthur and the Revenge of Maltazard,"12,14,16,10751"
The Boondock Saints II: All Saints Day,"28,53,80"
The Taking of Pelham 1 2 3,"53,18,80,9648"
One Piece Film: Strong World,"16,14,12"
The Young Victoria,"18,36,10749"
Daybreakers,"28,14,27,878"
Bride Wars,"35,10749"
An Education,"18,10749"
G-Force,"14,28,12,10751,35"
Scooby-Doo! The Mystery Begins,"9648,16,35,14"
Coraline,"16,10751"
3 Idiots,"18,35,10749"
Antichrist,"18,27,53"
Astro Boy,"16,28,10751,878"
The Collector,"27,53"
Adventureland,35
Race to Witch Mountain,"12,10751,14,878,53,28"
Whiteout,"28,80,9648,53"
Year One,"35,12"
The Road,"12,18"
Extract,35
Ninja Assassin,"28,80,53,9648"
Barbie and the Three Musketeers,"16,10751"
Gamer,"28,53,878"
Push,"878,28"
"Sex, Party and Lies","35,18"
17 Again,35
The Secret in Their Eyes,"80,18,9648,10749"
My Bloody Valentine,"9648,27"
Precious,18
The Last House on the Left,"80,53,27,18"
Obsessed,"18,53"
Solomon Kane,"12,14,28"
The Boat That Rocked,"18,35"
Saw VI,"27,9648"
Invictus,"18,36"
Brooklyn's Finest,"80,18,53"
Valhalla Rising,"12,18,28,14"
Dragonball Evolution,"28,12,14,878,53"
The Box,"53,878"
The Ugly Truth,"35,10749"
The Men Who Stare at Goats,"35,10752"
The International,"18,53,80"
Cirque du Freak: The Vampire's Assistant,"12,14,28,53"
A Perfect Getaway,"53,9648,12"
12 Rounds,"28,53,80"
The Bad Lieutenant: Port of Call - New Orleans,"18,80"
Hotel for Dogs,"35,10751"
Youth in Revolt,"18,35,10749"
Land of the Lost,"12,35,878,10751"
Desert Flower,18
The Haunting in Connecticut,"53,27"
It's Complicated,"35,10749"
Taking Woodstock,"10402,35,18"
Couples Retreat,"35,10749"
Brothers,"18,53,10752"
Red Cliff Part II,"28,18,36,10752"
The Butterfly Effect 3: Revelations,"878,53,18,80"
Confessions of a Shopaholic,"35,10749"
Funny People,"35,18"
Planet 51,"878,10751,35,12,16"
After.Life,"18,27,9648,53"
Coco Before Chanel,"18,36"
Mary and Max,"16,35,18"
The Pink Panther 2,"35,9648"
Dorian Gray,"14,18,53"
Ghosts of Girlfriends Past,"14,35,10749"
Summer Wars,16
Ninja,"28,80,18,53"
[REC]²,"53,27"
I Killed My Mother,18
The Tournament,"27,28,53"
The Invention of Lying,"35,14,10749"
District 13: Ultimatum,"28,53,80"
The Uninvited,"18,27,9648,53"
Ondine,"18,10749"
The Time Traveler's Wife,"18,10749,14"
The Concert,"18,35"
Barbie Presents: Thumbelina,"16,10751"
Chloe,"18,53,9648"
A Serious Man,"35,18"
Agora,"12,18,36"
The Unborn,"27,53,9648"
Legally Blondes,35
New in Town,"35,10749"
Whatever Works,"35,10749"
Wizards of Waverly Place: The Movie,"10770,12,35,18,10751,14,878"
Crossing Over,"80,18"
Dance Flick,"28,35,10402"
Gifted Hands: The Ben Carson Story,18
St Trinian's 2: The Legend of Fritton's Gold,"35,12"
Did You Hear About the Morgans?,35
Aliens in the Attic,"12,35,10751,14,878"
Julie & Julia,"10749,18"
Partly Cloudy,"16,10751"
Nine,"18,10402,10749"
Splice,"27,53,878"
Duplicity,"10749,35,80"
A Single Man,"10749,18"
My Life in Ruins,"35,10749"
Rampage,"28,18,80,53,9648"
Love Happens,"18,10749"
The Secret of Kells,"16,10751,14"
The Informant!,"18,35,80"
Lesbian Vampire Killers,"27,35"
Pontypool,"27,9648,878"
Universal Soldier: Regeneration,"12,28,878,53"
Blood and Bone,"18,28,53"
Black Dynamite,"28,35"
Sorority Row,"27,9648"
The Private Lives of Pippa Lee,"35,18,10749"
An American Girl: Chrissa Stands Strong,"18,10751"
Crazy Heart,"18,10402,10749"
Micmacs,"28,35,80"
I Love You Phillip Morris,"35,18,10749"
The Cove,99
Veronika Decides to Die,"18,10749"
Brüno,35
Thick as Thieves,"28,53,80"
Green Street Hooligans 2,"80,18"
The White Ribbon,"80,18,9648"
Lucky Luke,"35,37,12"
Red Riding: In the Year of Our Lord 1974,"53,9648,80,18"
Home,99
"I Love You, Beth Cooper","35,10749"
Observe and Report,"35,80,18"
In the Loop,35
Princess Protection Program,"10770,35,18,10751"
Harry Brown,"53,80,18,28"
The Loved Ones,27
A Prophet,"80,18"
OSS 117: Lost in Rio,"80,28,35,12"
Fish Tank,18
Dug's Special Mission,"16,35,10751"
Van Wilder: Freshman Year,35
Green Lantern: First Flight,"28,16,878"
In Her Skin,"18,53"
Pope Joan,18
Cell 211,"28,53,18"
The Gruffalo,"16,10751"
Pokémon: Arceus and the Jewel of Life,"16,10751"
The Stepfather,"27,53"
Street Fighter: The Legend of Chun-Li,"28,12,878,53"
Naruto Shippuden the Movie: Inheritors of the Will of Fire,"28,12,35,18,14,16"
Blood: The Last Vampire,"28,12,27,878,53"
Little Nicholas,35
Exam,"53,9648"
Solitary Man,"35,18,10749"
Fame,"10402,35,18,10749"
Redline,"14,18,28,53,16"
All About Steve,35
Middle Men,"18,35,80"
Where the Wild Things Are,"10751,14,878"
The Rebound,"10749,35"
Superman/Batman: Public Enemies,"16,28,12,10751"
Different from Whom?,35
Rabbit Without Ears 2,"35,10749"
Doghouse,"35,27"
The Descent: Part 2,"12,27,53"
Broken Embraces,"18,10749,53"
Nowhere Boy,18
S. Darko,"53,80,878,9648"
Powder Blue,18
Imagine That,"35,10751"
Bright Star,"18,10749"
Cracks,"18,9648,53"
Merry Madagascar,"10751,16"
Looking for Eric,"35,18"
Afro Samurai: Resurrection,"16,28"
Cado dalle nubi,35
The Grudge 3,"9648,27,53"
Mother,"80,18,9648,53"
Management,"35,18,10749"
Futurama: Into the Wild Green Yonder,"16,35"
World's Greatest Dad,"35,10749,18"
The Fourth Kind,"9648,878,53"
Leaves of Grass,"35,80,53"
The Hedgehog,"35,18"
Shinjuku Incident,"18,28,53,80"
Tetro,"18,9648"
The Disappearance of Alice Creed,"80,18,53"
From Beginning to End,"10749,18"
Mutant Pumpkins from Outer Space,"10770,16,10751,35"
The Soloist,18
The Maiden Heist,"35,80"
Santa Buddies,"10751,12"
Stan Helsing,"35,27"
I Am Love,"18,10749"
Spread,"35,10749"
"The Goods: Live Hard, Sell Hard",35
Prayers for Bobby,"18,36,10770"
The New Daughter,"27,53"
Thirst,"18,27,53"
Post Grad,"35,18"
Stargate SG-1: Children of the Gods - Final Cut,"12,53,878"
Cargo,"53,9648,878"
Adam,"18,10749"
Carriers,"28,18,27,878,53"
Labor Pains,35
Frequently Asked Questions About Time Travel,"18,35,878,10749"
"I Love You, Man",35
Prison Break: The Final Break,"28,18,53"
Capitalism: A Love Story,99
Tel chi el telùn,35
Bandslam,"35,18,10751,10402,10749"
The Messenger,"18,36,10752"
Mega Shark vs. Giant Octopus,"27,878"
Dead Snow,"27,35"
Echelon Conspiracy,"28,53"
Road Trip: Beer Pong,35
Ex,35
The Invisible Woman,35
Anacondas: Trail of Blood,"28,27,878"
Fighting,"28,12,80,18,53"
Notorious,"18,10402"
Castaway on the Moon,"18,35,10749"
My Sister's Keeper,18
Cabin Fever 2: Spring Fever,27
Kevin Hart: I'm a Grown Little Man,35
Bitch Slap,"18,28,35,53,80"
Don't Look Back,"18,27,9648,53"
The House of the Devil,"27,9648"
City of Life and Death,"18,36,10752"
Battlestar Galactica: The Plan,"878,28,18,10770"
The Cry of the Owl,18
Everybody's Fine,18
Black Lightning,28
The Marine 2,"28,12,18,53"
The Last Station,"18,10749"
The Revenant,"35,27"
The Girlfriend Experience,"35,18"
Stolen,"80,18,9648,53"
Crows Zero II,"28,35,53"
Fired Up!,35
The Forbidden Legend: Sex & Chopsticks 2,"35,18"
The Thaw,"27,878,53"
Creation,"18,36"
Polytechnique,"80,18"
Miss March,"35,10749"
This Is It,"10402,99,18"
Evangelion: 2.0 You Can (Not) Advance,"16,878,28,18"
The Joneses,"35,18"
Wonder Woman,"28,12,16,878"
Amelia,"12,18"
Metropia,"16,18,878,53"
Dadnapped,"10770,28,12,35,10751"
Soul Kitchen,"18,35"
Beyond a Reasonable Doubt,"80,18,53"
"My Son, My Son, What Have Ye Done","80,18,53"
Paper Man,"35,18"
The Killing Room,"18,53"
Defendor,"18,28,35,80"
Sorority Wars,"35,18,10751,10770"
Safari,"12,35"
City Island,"18,35"
Che: Part Two,"18,36,10752"
Hulk vs. Wolverine,"16,28,878,12,14"
The Hills Run Red,27
3some,"10749,18"
Old Dogs,"35,10751"
Lupin the Third vs. Detective Conan,"28,16,35,80,10770"
The Good Guy,"35,10749"
I Hate Valentine's Day,"35,10749"
The Good Witch's Garden,"10770,35,10751,14,10749"
Hatching Pete,"35,10751"
Five Minutes of Heaven,"80,18,53"
Sin Nombre,"18,28,53,80"
The French Kissers,35
TiMER,"14,18,35,878,10749"
Doctor Who: The End of Time,"878,10770"
The Hole,"53,12,14"
Air Doll,18
Merantau,"28,18,53"
Brain Drain,35
The Horde,"28,27,53"
Ben 10 - Alien Swarm,12
Whip It,18
The Damned United,18
Oceans,"99,10751"
About Elly,18
Horsemen,"80,18,27,9648,53"
Bodyguards and Assassins,"18,28,36"
Away We Go,"35,18,10749"
Book of Blood,"27,18,9648,53"
Happily N'Ever After 2,16
Infestation,"28,35,27,878"
Transformers: Revenge of the Fallen,"878,28,12"
Lebanon,"18,10752"
Deep in the Valley,35
Ace Ventura Jr: Pet Detective,"35,10751"
Dread,"27,18,53"
Thawing Out,"35,18"
Shorts,"10751,14,35"
Madea Goes to Jail,"35,80,18"
Heartless,"18,27,53"
Dead Like Me: Life After Death,"18,14,35"
Walled In,"27,53"
The Limits of Control,"80,18,53,9648"
RTT,35
The Boys Are Back,18
Incognito,35
18 Year Old Virgin,35
Baarìa,"18,35"
Red Riding: In the Year of Our Lord 1980,"53,80,18,9648"
My Fake Fiance,"10770,35"
In the Electric Mist,"53,18,80,9648"
According to Greta,"18,10749"
Goal! III: Taking On The World,18
High Lane,"28,53,27"
Scooby-Doo! and the Samurai Sword,"9648,16,35,10751,28,14"
Hulk vs. Thor,"28,16,14,878"
Italians,35
Doctor Who: The Waters of Mars,"878,12,10751,10770"
Tell-Tale,"18,27,9648,53"
La Maison en Petits Cubes,"16,18,10751"
Homecoming,"27,53"
Natale a Beverly Hills,35
Cheri,"18,35,10749"
Red Riding: In the Year of Our Lord 1983,"53,80,18,9648"
Vengeance,"53,28"
Doctor Who: Planet of the Dead,"10751,878,10770,12,18"
The Countess,"18,36,27"
From Within,"27,9648,53"
Wizards on Deck with Hannah Montana,10751
